                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1976,                 3.1817,                 2.6117,                  1.589,                0.00465,                0.55723,                0.08543,                0.02041,                0.00112,                0.13896,                0.01724,                0.00248,                 2.5034,                 12.095,                 3.5854,                 2.8319,             0.00030006,             0.00030006,             0.00030006
                      2,                  1.099,                 2.2418,                 1.7294,                 1.4891,                0.75121,                 0.0185,                0.13687,                0.04101,                0.75592,                0.01829,                  0.071,                0.01661,                 2.3515,                 8.4517,                 3.5115,                 2.5317,             0.00061068,             0.00061068,             0.00061068
                      3,                 1.1161,                 2.1163,                 1.6165,                 1.4525,                0.53515,                0.04268,                0.04269,                0.01165,                0.54659,                0.03659,                0.02003,                0.00387,                 2.6232,                  16.48,                 3.6486,                 3.1639,             0.00091504,             0.00091504,             0.00091504
                      4,                 1.1334,                 2.1603,                  1.569,                 1.4619,                0.60781,                0.09756,                0.08382,                0.02688,                0.64051,                0.06707,                0.05588,                 0.0199,                 2.5214,                 16.916,                 3.6237,                 3.2858,              0.0012131,              0.0012131,              0.0012131
                      5,                 1.1589,                 2.2027,                 1.5628,                 1.4655,                0.52938,                0.10366,                0.06242,                0.01529,                0.52171,                0.04878,                0.00759,                0.00159,                 2.8316,                 14.179,                 4.7379,                 4.4654,              0.0015049,              0.0015049,              0.0015049
                      6,                 1.1735,                 2.2453,                 1.5087,                 1.4976,                0.59278,                0.09146,                0.07138,                0.01737,                0.56154,                0.06098,                0.01821,                  0.004,                 2.6227,                 9.2595,                 3.4202,                 3.6971,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1876,                 2.2551,                 1.3877,                 1.4994,                0.57661,                0.09756,                0.04379,                0.01536,                0.56762,                0.05488,                0.02522,                0.00883,                 2.6929,                 8.9326,                 3.6911,                 3.5939,               0.001568,               0.001568,               0.001568
                      8,                 1.1243,                 2.0404,                 1.2918,                 1.4289,                0.64816,                0.06707,                 0.0581,                0.01661,                0.61053,                0.05488,                0.03315,                0.01107,                 2.8409,                 10.132,                 3.4485,                 4.0268,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0615,                 1.9077,                 1.1923,                 1.3834,                0.62465,                0.12805,                0.06401,                0.01666,                0.57506,                0.09146,                0.03439,                0.01045,                 2.6704,                 12.419,                 3.4409,                 3.4269,               0.001535,               0.001535,               0.001535
                     10,                  1.123,                 2.0743,                 1.2177,                 1.4411,                0.59423,                0.07927,                0.04964,                0.01519,                0.58222,                0.06707,                0.02724,                0.00716,                 2.7032,                 8.3829,                 3.7047,                 3.2527,              0.0015185,              0.0015185,              0.0015185
